id,title,score,url,created_utc,num_comments,custom_title,tag,player,views,shortcode,start,stop,duration
7i36gq,Bron dagger!,9400,https://streamable.com/8whn4,1512612796,1283,LeBron hits the 3-point dagger,"shot, clutch",LeBron James,303742,8whn4,,10,10
7ic303,Brandon Ingram with the three with 0.8 seconds left! - TNT,11028,https://streamable.com/t5m10,1512704386,1184,Brandon Ingram hits the game-winner against the Sixers,"shot, clutch",Brandon Ingram,740401,t5m10,,,10.63
7ikrch,Manu Ginobilli go ahead basket with 5 seconds left,11002,https://streamable.com/dm70u,1512795101,821,Manu Ginobilli hits the go-ahead basket,"clutch, shot",Manu Ginobili,434256,dm70u, ,7,7
7kq8bz,Pacers Throw it away and Terry Rozier wins it with the dunk!,12211,https://streamable.com/3lu3d,1513650661,839,Rozier steals it and dunks the game-winner against the Pacers,"defense, steal, clutch, dunk",Terry Rozier,368176,3lu3d,,15,15
7kqzid,Larry Nance Jr absolutely destroyed KD,18140,https://streamable.com/xa6te,1513658702,1223,Larry Nance Jr. posterizes Durant,dunk,Larry Nance Jr.,848150,xa6te,,,6.02
7kyoui,Lebron inbounds to himself off Giannis and cuts the lead to 2,17358,https://streamable.com/rwzxw,1513740519,861,Lebron inbounds to himself off of Giannis to cut the lead,"shot, pass, clutch",LeBron James,707589,rwzxw,,9,9
7l6k20,Lonzo destroys Harden's shot then hits a jumper,11713,https://streamable.com/dgazs,1513824708,1049,Lonzo blocks Harden then hits the jumper,"defense, block",Lonzo Ball,373201,dgazs,8,22,14
7mz0xd,Russell Westbrook crushes Thon Maker with a huge rim shaker!,11501,https://streamable.com/644z3,1514601947,690,Westbrook dunks on Thon Maker,dunk,Russell Westbrook,303159,644z3,2,13,11
7o0d22,Curry game winner vs Dallas,10342,https://streamable.com/bx03w,1515038181,1189,Curry hits the game-winner against the Mavs,"clutch, shot",Stephen Curry,505482,bx03w,,11,11
7p3sba,"Tyus Jones picks Wade's pocket and slams it down, preventing a LeBron chasedown",9270,https://streamable.com/13g6y,1515463427,505,Tyus Jones steals it from Wade throws it down,"defense, steal, dunk",Tyus Jones,363172,13g6y,2,,9.26
7rvhht,Harden drops the dagger on Steph,9413,https://streamable.com/8fyc8,1516506790,784,Harden hits the clutch 3-pointer over Curry,"clutch, shot",James Harden,389045,8fyc8,,,9.97
7to3x9,Embiid dunks on Westbrook,17773,https://streamable.com/144w6,1517182711,1181,Embiid dunks on Westbrook,dunk,Joel Embiid,539070,144w6,3,10,7
7uou8b,Jamal Murray breaks Steven Adams' ankles,12580,https://streamable.com/ny40f,1517545601,763,Jamal Murray breaks Steven Adams' ankles,move,Jamal Murray,285053,ny40f,3,13,10
7upb4t,Gary Harris game winning 3 at the buzzer,6124,https://streamable.com/47x44,1517551059,1112,Gary Harris hits the game-winner against the Thunder,"shot, clutch",Gary Harris,305727,47x44,,,9.07
7vspe3,Giannis jumps over Tim Hardaway Jr. for the alley-oop,32522,https://streamable.com/a75xt,1517969167,1884,Giannis jumps over Tim Hardaway Jr. for the alley-oop,dunk,Giannis Antetokounmpo,726412,a75xt,,10,10
7w20w0,Clutch block by LeBron late in OT,14284,https://streamable.com/eny7p,1518061147,782,LeBron blocks Butler in OT,"defense, block, clutch",LeBron James,320903,eny7p,7,17,10
7w21au,LeBron hits the game winner in OT,15534,https://streamable.com/fur0p,1518061258,1271,LeBron hits the game-winner in OT against the Wolves,"shot, clutch",LeBron James,282071,fur0p,11,21,10
7wb8kg,39 Year Old Father Pumps Draymond Green Out of His Shoes,19968,https://streamable.com/llefl,1518153183,752,Dirk double pump fakes Draymond Green,"move, shot",Dirk Nowitzki,550302,llefl,1,,9.36
7wpyhn,Isaiah with his first shot as a laker,9071,https://streamable.com/poyp4,1518314287,618,Isaiah hits his first shot as a Laker,shot,Isaiah Thomas,294819,poyp4,6,17,11
7wvhrz,JR Smith posterizes Aron Baynes,7501,https://streamable.com/y1zrt,1518382383,398,JR Smith posterizes Aron Baynes,dunk,JR Smith,298455,y1zrt,,,6.88
7zl97q,Curry swishes the halfcourt shot!,9459,https://streamable.com/6vwgb,1519358867,652,Curry hits the halfcourt shot,shot,Stephen Curry,443892,6vwgb,,,6.51
80in50,Jarrett Allen murders Lauri Markkanen,14140,https://streamable.com/xai7a,1519696719,970,Jarrett Allen posterizes Lauri Markkanen,dunk,Jarrett Allen,452419,xai7a,,7,7
80sqm1,Dwyane Wade game winner to give the Miami Heat a 102-101 lead,12088,https://streamable.com/7ebyw,1519787327,958,Wade hits the game-winner against the Sixers,"shot, clutch",Dwyane Wade,267514,7ebyw,,13,13
812hi7,Harden drops Johnson then hits the three!,38105,https://streamable.com/kqbgh,1519877152,2988,Harden drops Wesley Johnson then hits the 3-pointer,move,James Harden,922790,kqbgh,,15,15
81amzb,LeBron with the ridiculous and 1,30750,https://streamable.com/1q2m8,1519954024,1822,LeBron finishes the and-one,move,LeBron James,644203,1q2m8,,,25.07
81f312,Ben Simmons inbounds play no one seemed to notice.,6412,https://streamable.com/8lxti,1520005225,387,Ben Simmons inbounds it to himself,pass,Ben Simmons,345739,8lxti,5,,4.529999999999999
81ujb5,Larry Nance Jr. destroys Mason Plumlee!,12475,https://streamable.com/2a0fh,1520126166,849,Larry Nance Jr. posterizes Mason Plumlee,dunk,Larry Nance Jr.,368700,2a0fh,,7,7
82ugf8,DeRozan with the clutch posterization! - TSN,16503,https://streamable.com/62tv2,1520479614,1301,DeRozan dunks it in the clutch,"dunk, clutch",DeMar DeRozan,356403,62tv2,,10,10
83rjoh,LeBron with a SMOOTH no-look dime!,21904,https://streamable.com/yfukq,1520820195,899,LeBron dishes a no-look assist,pass,LeBron James,826998,yfukq,,,7.51
84s4tt,LeBron James posters Jusuf Nurkic,19520,https://streamable.com/48cts,1521166772,2068,LeBron posterizes Nurkic,dunk,LeBron James,714305,48cts,,8,8
